claim_id,claim,evidence_category,source_phase,source_artifact,source_locator,exact_reproduction_command,applicable_caveat
C15,Retained dynamic-model interval coverage is conservative: 80% coverage ranges from 96.1% to 100.0% and 95% coverage ranges from 98.7% to 100.0%.,statistical inference,Phase 4,reports/tables/phase4/interval_diagnostics.csv,later evaluation rows for retained ARIMA/ARMA models,./.venv/Scripts/python.exe ./scripts/build_phase4_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase4_outputs.py,High coverage partly reflects wide intervals and limited forecast counts.
C16,"Later residuals are heavy-tailed: excess kurtosis is about 11.1 for toe persistence at one day, 16.8 for toe ARMA(1,1) at two days, and 4.6 for middle AR(2) at seven days.",statistical inference,Phase 4,reports/tables/phase4/residual_diagnostics.csv,evaluation rows at lag_in_origin_sequence=0,./.venv/Scripts/python.exe ./scripts/build_phase4_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase4_outputs.py,Origin counts are modest and rare extremes limit formal tail diagnostics.
C17,"All 10,746 scheduled forecast attempts are accounted for: 9,427 succeeded, 905 were core-ineligible, 309 were feature-unavailable, and 105 were fit failures.",observed workflow result,Phase 4,reports/tables/phase4/model_coverage_failures.csv,attempt_count grouped by status,./.venv/Scripts/python.exe ./scripts/build_phase4_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase4_outputs.py,Contractual unavailability and data-path ineligibility are distinct from numerical fit failure.
C18,Only 4 of 42 grouped changepoint candidates have support from both method families; 24 are within-method only and 14 are unstable.,statistical inference,Phase 4,reports/tables/phase4/changepoint_candidates.csv,sensitivity_stability counts,./.venv/Scripts/python.exe ./scripts/build_phase4_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase4_outputs.py,"Event context covers 23 groups, while 19 remain unexplained; neither class identifies cause."
C19,"The verified results establish temporal association and forecast performance under the declared design, but they do not establish causation, a physical threshold, operational forecasting skill, or a warning rule.",engineering interpretation and limitation,Phases 3–5,docs/CLEVELAND_CORRAL_PHASE4_FORECASTING_VALIDATION.md,decision and evidence-categories sections,./.venv/Scripts/python.exe ./scripts/verify_phase5_outputs.py,"Operational or causal conclusions require new data, designs, and authority outside this project."
C20,"For the 12 selected non-rain IDs, all 40,160 comparable daily values match the median recalculated from available 15-minute observations within 10⁻¹².",observed data,Phase 2,data/provenance/cleveland_corral_product_semantics.csv,all non-rain rows; comparable and match-count columns,./.venv/Scripts/python.exe ./scripts/build_phase2_interim.py; ./.venv/Scripts/python.exe ./scripts/verify_phase2_data.py,This validates the published daily aggregation for comparable available values; it does not remove gaps or sensor-regime concerns.
C21,"Daily rain matches the maximum cumulative 15-minute field on 6,961 of 7,584 comparable dates; 623 mismatches are confined to 1999–2000, 2007, and 2013 and remain unresolved.",observed data,Phase 2,data/provenance/cleveland_corral_product_semantics.csv,mid_R cumulative-precipitation comparison row,./.venv/Scripts/python.exe ./scripts/build_phase2_interim.py; ./.venv/Scripts/python.exe ./scripts/verify_phase2_data.py,The published daily rain field is preserved; unresolved offsets prevent silently substituting one rain definition for the other.
C22,Twenty-three groups are near a declared rain event or run-specific high-displacement episode and 19 are unexplained by those contexts.,statistical inference,Phase 4,reports/tables/phase4/changepoint_candidates.csv,context_classification counts,./.venv/Scripts/python.exe ./scripts/build_phase4_analysis.py; ./.venv/Scripts/python.exe ./scripts/verify_phase4_outputs.py,Proximity supplies context only and does not identify the cause of a candidate boundary.
C23,The primary USGS release spans monitoring from 1997 through 2018.,observed data,Phase 2,data/provenance/cleveland_corral_archive_inventory.csv,minimum and maximum nominal_water_year,./.venv/Scripts/python.exe ./scripts/build_phase2_interim.py; ./.venv/Scripts/python.exe ./scripts/verify_phase2_data.py,Individual sensors have shorter coverage and contain gaps and regime changes.
C24,Phase 2 acquired only the two monitoring archives and the sensor-description table.,observed workflow result,Phase 2,data/provenance/cleveland_corral_download_manifest.csv,all three resource_kind rows,./.venv/Scripts/python.exe ./scripts/acquire_cleveland_corral.py; ./.venv/Scripts/python.exe ./scripts/verify_phase2_data.py,Other releases were audited in Phase 1 but were not required for the selected analysis.
